index,distance,x,y,z
401,2005.000000,222.981665699,113.718359560,181.420559638
402,2010.000000,218.178696648,112.328658250,181.435343524
403,2015.000000,213.220945890,112.022650064,181.463227047
404,2020.000000,208.221056857,112.011670029,181.494676859
405,2025.000000,203.221221111,112.014673925,181.534908407
406,2030.000000,198.221389697,112.018508152,181.575784321
407,2035.000000,193.221571372,112.022948618,181.618175432
408,2040.000000,188.221751805,112.026305439,181.660473701
409,2045.000000,183.221928158,112.026106398,181.702467315
410,2050.000000,178.222102345,112.024854811,181.744157768
411,2055.000000,173.222272601,112.021693878,181.785298277
412,2060.000000,168.222442116,112.019331265,181.826393292
413,2065.000000,163.222610772,112.017894345,181.867435555
414,2070.000000,158.222783209,112.018063284,181.908933641
415,2075.000000,153.222958653,112.019509772,181.950794360
416,2080.000000,148.223137372,112.021123084,181.993037156
417,2085.000000,143.223317957,112.022831446,182.035497647
418,2090.000000,138.223497036,112.023236387,182.077804500
419,2095.000000,133.223675480,112.023091454,182.120046539
420,2100.000000,128.223850841,112.022156798,182.161908889
421,2105.000000,123.224025204,112.020966684,182.203648420
422,2110.000000,118.224198568,112.020258449,182.245278187
423,2115.000000,113.224371671,112.019675289,182.286879463
424,2120.000000,108.224546402,112.019989979,182.328676499
425,2125.000000,103.224721494,112.020503877,182.370516969
426,2130.000000,98.224898669,112.021172687,182.412603160
427,2135.000000,93.225076272,112.021873445,182.454740025
428,2140.000000,88.225253763,112.022042393,182.496868221
429,2145.000000,83.225431229,112.022099126,182.538994587
430,2150.000000,78.225607218,112.021699946,182.580942579
431,2155.000000,73.225782856,112.021192839,182.622848344
432,2160.000000,68.225958510,112.021172840,182.664758286
433,2165.000000,63.226134169,112.021292224,182.706669422
434,2170.000000,58.229020651,112.162196173,182.748646897
435,2175.000000,53.232897044,112.354510401,182.790648596
436,2180.000000,48.245631930,112.693313085,182.832832353
437,2185.000000,43.262734888,113.104348382,182.875105881
438,2190.000000,38.277309959,113.482547606,182.917419229
439,2195.000000,33.290222748,113.839154546,182.959758762
440,2200.000000,28.299401500,114.133450441,183.002167969
441,2205.000000,23.305423054,114.375061157,183.044636086
442,2206.528335,21.778928757,114.448913574,183.057617188
